+------------------------+--------------------+--------------------+------------------------+---------------------+
|           Z            |         F          |      F deriv       |           U            |         divF        |
|         0.0131         | 206.70327087195295 | 207.4962266287974  | 2.2220691929710775e-06 |  90567.20516776925  |
|         0.0132         | 208.2891823902011  | 209.08216078442143 | 2.222062712863491e-06  |  90568.93065924806  |
|  0.013300000000000001  | 209.8751391833066  | 210.66814039881095 | 2.2220561834150384e-06 |  90570.66924996278  |
|         0.0134         | 211.46114161908685 | 212.25416582617177 |  2.2220496046243e-06   |  90572.42093940538  |
|         0.0135         | 213.04719003813682 | 213.84023740710114 | 2.222042976489846e-06  |  90574.18572706309  |
|  0.013600000000000001  | 214.6332847810557  | 215.42635548220022 | 2.2220362990102353e-06 |   90575.9636124207  |
|         0.0137         | 216.21942618844687 | 217.01252038526812 | 2.2220295721840164e-06 |  90577.75459495651  |
|  0.013800000000000002  | 217.80561458730486 | 218.5987324773338  | 2.222022796009728e-06  |  90579.55867414601  |
|  0.013900000000000001  | 219.3918503726934  | 220.18499209901108 | 2.222015970485896e-06  |  90581.37584946236  |
|         0.014          | 220.97813383077622 | 221.77129958411138 | 2.222009095611038e-06  |  90583.20612037317  |
|  0.014100000000000001  | 222.56446534301236 | 223.35765528686971 | 2.222002171383659e-06  |  90585.04948634343  |
|         0.0142         | 224.15084523641326 | 224.9440595342999  | 2.2219951978022545e-06 |  90586.90594683276  |
|         0.0143         | 225.7372738379945  | 226.53051269425845 | 2.2219881748653095e-06 |  90588.77550129792  |
|  0.014400000000000001  | 227.32375155645414 | 228.1170150937677  | 2.2219811025712965e-06 |  90590.65814919137  |
|         0.0145         | 228.91027863713828 | 229.7035670530473  |  2.22197398091868e-06  |  90592.55388996277  |
|         0.0146         | 230.49685547514068 | 231.29016895358058 | 2.221966809905913e-06  |  90594.46272305652  |
|  0.014700000000000001  | 232.08348243833362 | 232.87682112920908 | 2.221959589531436e-06  |  90596.38464791363  |
|         0.0148         | 233.67015982652848 | 234.46352391377917 | 2.221952319793681e-06  |  90598.31966397176  |
|         0.0149         | 235.25688800760634 | 236.05027766836767 | 2.221945000691068e-06  |  90600.26777066494  |
|  0.015000000000000001  | 236.84366733583977 | 237.63708273363636 | 2.2219376322220065e-06 |  90602.22896742112  |
|         0.0151         | 238.43049813827977 | 239.22393944344495 | 2.2219302143848956e-06 |  90604.20325366825  |
|         0.0152         | 240.01738075559504 | 240.81084813165802 | 2.2219227471781237e-06 |  90606.19062882593  |
|  0.015300000000000001  | 241.6043155148457  | 242.39780915256412 | 2.2219152306000693e-06 |  90608.19109231448  |
